[epoch:8, iter:6075] Loss: 1.116 | Acc: 60.771% 
[epoch:8, iter:6095] Loss: 1.115 | Acc: 60.809% 
[epoch:8, iter:6115] Loss: 1.115 | Acc: 60.772% 
[epoch:8, iter:6135] Loss: 1.116 | Acc: 60.763% 
[epoch:8, iter:6155] Loss: 1.117 | Acc: 60.768% 
[epoch:8, iter:6175] Loss: 1.116 | Acc: 60.808% 
[epoch:8, iter:6195] Loss: 1.115 | Acc: 60.814% 
[epoch:8, iter:6215] Loss: 1.115 | Acc: 60.792% 
[epoch:8, iter:6235] Loss: 1.116 | Acc: 60.726% 
[epoch:8, iter:6255] Loss: 1.117 | Acc: 60.711% 
[epoch:9, iter:6257] Loss: 1.038 | Acc: 70.312% 
[epoch:9, iter:6277] Loss: 1.027 | Acc: 63.839% 
[epoch:9, iter:6297] Loss: 1.044 | Acc: 63.110% 
[epoch:9, iter:6317] Loss: 1.077 | Acc: 62.090% 
[epoch:9, iter:6337] Loss: 1.087 | Acc: 61.825% 
[epoch:9, iter:6357] Loss: 1.093 | Acc: 61.665% 
[epoch:9, iter:6377] Loss: 1.095 | Acc: 62.100% 
[epoch:9, iter:6397] Loss: 1.100 | Acc: 61.835% 
[epoch:9, iter:6417] Loss: 1.100 | Acc: 61.782% 
[epoch:9, iter:6437] Loss: 1.093 | Acc: 62.060% 
[epoch:9, iter:6457] Loss: 1.092 | Acc: 62.142% 
[epoch:9, iter:6477] Loss: 1.089 | Acc: 62.217% 
[epoch:9, iter:6497] Loss: 1.089 | Acc: 62.241% 
[epoch:9, iter:6517] Loss: 1.088 | Acc: 62.296% 
[epoch:9, iter:6537] Loss: 1.088 | Acc: 62.194% 
[epoch:9, iter:6557] Loss: 1.089 | Acc: 62.121% 
[epoch:9, iter:6577] Loss: 1.089 | Acc: 62.130% 
[epoch:9, iter:6597] Loss: 1.089 | Acc: 62.060% 
[epoch:9, iter:6617] Loss: 1.091 | Acc: 61.955% 
[epoch:9, iter:6637] Loss: 1.090 | Acc: 61.868% 
[epoch:9, iter:6657] Loss: 1.090 | Acc: 61.962% 
[epoch:9, iter:6677] Loss: 1.089 | Acc: 61.925% 
[epoch:9, iter:6697] Loss: 1.089 | Acc: 61.919% 
[epoch:9, iter:6717] Loss: 1.088 | Acc: 61.948% 
[epoch:9, iter:6737] Loss: 1.090 | Acc: 61.941% 
[epoch:9, iter:6757] Loss: 1.087 | Acc: 62.017% 
[epoch:9, iter:6777] Loss: 1.086 | Acc: 62.038% 
[epoch:9, iter:6797] Loss: 1.086 | Acc: 62.058% 
[epoch:9, iter:6817] Loss: 1.085 | Acc: 62.096% 
[epoch:9, iter:6837] Loss: 1.085 | Acc: 62.075% 
[epoch:9, iter:6857] Loss: 1.084 | Acc: 62.149% 
[epoch:9, iter:6877] Loss: 1.085 | Acc: 62.075% 
[epoch:9, iter:6897] Loss: 1.084 | Acc: 62.088% 
[epoch:9, iter:6917] Loss: 1.083 | Acc: 62.112% 
[epoch:9, iter:6937] Loss: 1.084 | Acc: 62.055% 
[epoch:9, iter:6957] Loss: 1.084 | Acc: 62.036% 
[epoch:9, iter:6977] Loss: 1.083 | Acc: 62.049% 
[epoch:9, iter:6997] Loss: 1.081 | Acc: 62.104% 
[epoch:9, iter:7017] Loss: 1.080 | Acc: 62.128% 
[epoch:9, iter:7037] Loss: 1.081 | Acc: 62.072% 
[epoch:10, iter:7039] Loss: 1.090 | Acc: 56.250% 
[epoch:10, iter:7059] Loss: 1.003 | Acc: 63.988% 
[epoch:10, iter:7079] Loss: 1.009 | Acc: 63.910% 
[epoch:10, iter:7099] Loss: 1.014 | Acc: 63.781% 
[epoch:10, iter:7119] Loss: 1.027 | Acc: 63.329% 
[epoch:10, iter:7139] Loss: 1.034 | Acc: 63.150% 
[epoch:10, iter:7159] Loss: 1.024 | Acc: 63.507% 
[epoch:10, iter:7179] Loss: 1.021 | Acc: 63.564% 
[epoch:10, iter:7199] Loss: 1.029 | Acc: 63.344% 
[epoch:10, iter:7219] Loss: 1.033 | Acc: 63.406% 
[epoch:10, iter:7239] Loss: 1.034 | Acc: 63.487% 
[epoch:10, iter:7259] Loss: 1.036 | Acc: 63.341% 
[epoch:10, iter:7279] Loss: 1.037 | Acc: 63.375% 
[epoch:10, iter:7299] Loss: 1.040 | Acc: 63.206% 
[epoch:10, iter:7319] Loss: 1.041 | Acc: 63.151% 
[epoch:10, iter:7339] Loss: 1.042 | Acc: 63.076% 
[epoch:10, iter:7359] Loss: 1.045 | Acc: 63.045% 
[epoch:10, iter:7379] Loss: 1.044 | Acc: 63.091% 
[epoch:10, iter:7399] Loss: 1.045 | Acc: 62.998% 
[epoch:10, iter:7419] Loss: 1.048 | Acc: 63.058% 
[epoch:10, iter:7439] Loss: 1.048 | Acc: 63.042% 
[epoch:10, iter:7459] Loss: 1.049 | Acc: 63.020% 
[epoch:10, iter:7479] Loss: 1.048 | Acc: 63.106% 
[epoch:10, iter:7499] Loss: 1.048 | Acc: 63.100% 
[epoch:10, iter:7519] Loss: 1.048 | Acc: 63.117% 
[epoch:10, iter:7539] Loss: 1.049 | Acc: 63.127% 
[epoch:10, iter:7559] Loss: 1.048 | Acc: 63.157% 
[epoch:10, iter:7579] Loss: 1.048 | Acc: 63.156% 
[epoch:10, iter:7599] Loss: 1.048 | Acc: 63.129% 
[epoch:10, iter:7619] Loss: 1.049 | Acc: 63.145% 
[epoch:10, iter:7639] Loss: 1.048 | Acc: 63.197% 
[epoch:10, iter:7659] Loss: 1.048 | Acc: 63.220% 
[epoch:10, iter:7679] Loss: 1.048 | Acc: 63.168% 
[epoch:10, iter:7699] Loss: 1.048 | Acc: 63.131% 
[epoch:10, iter:7719] Loss: 1.045 | Acc: 63.204% 
[epoch:10, iter:7739] Loss: 1.044 | Acc: 63.273% 
[epoch:10, iter:7759] Loss: 1.043 | Acc: 63.295% 
[epoch:10, iter:7779] Loss: 1.045 | Acc: 63.234% 
[epoch:10, iter:7799] Loss: 1.043 | Acc: 63.280% 
[epoch:10, iter:7819] Loss: 1.043 | Acc: 63.246% 
[epoch:11, iter:7821] Loss: 1.102 | Acc: 62.500% 
[epoch:11, iter:7841] Loss: 1.023 | Acc: 63.244% 
[epoch:11, iter:7861] Loss: 1.036 | Acc: 63.300% 
[epoch:11, iter:7881] Loss: 1.021 | Acc: 63.883% 
[epoch:11, iter:7901] Loss: 1.019 | Acc: 64.255% 
[epoch:11, iter:7921] Loss: 1.018 | Acc: 64.078% 
[epoch:11, iter:7941] Loss: 1.023 | Acc: 63.933% 
[epoch:11, iter:7961] Loss: 1.019 | Acc: 64.195% 
[epoch:11, iter:7981] Loss: 1.025 | Acc: 63.830% 
[epoch:11, iter:8001] Loss: 1.028 | Acc: 63.726% 
[epoch:11, iter:8021] Loss: 1.029 | Acc: 63.744% 
